Time Series ID,Data Point Date,Value,Comp TS Value,Is Proxy,Proxy Comments,Approved By
7.2E+12,01/01/2007,1.1464,,,,
7.2E+12,01/02/2007,1.1464,,,,
7.2E+12,01/03/2007,1.1464,,,,
7.2E+12,01/04/2007,1.1464,,,,
7.2E+12,01/05/2007,1.1464,,,,
7.2E+12,01/08/2007,1.1464,,,,
7.2E+12,01/09/2007,1.1464,,,,
7.2E+12,01/10/2007,1.1464,,,,
7.2E+12,01/11/2007,1.1464,,,,
7.2E+12,01/12/2007,1.1464,,,,
7.2E+12,01/15/2007,1.1464,,,,
7.2E+12,01/16/2007,1.1413,,,,
7.2E+12,01/17/2007,1.1413,,,,
7.2E+12,01/18/2007,1.1413,,,,
7.2E+12,01/19/2007,1.1413,,,,
7.2E+12,01/22/2007,1.1413,,,,
7.2E+12,01/23/2007,1.1413,,,,
7.2E+12,01/24/2007,1.1413,,,,
7.2E+12,01/25/2007,1.1413,,,,
7.2E+12,01/26/2007,1.1413,,,,
7.2E+12,01/29/2007,1.1413,,,,
7.2E+12,01/30/2007,1.1464,,,,
7.2E+12,01/31/2007,1.1464,,,,
7.2E+12,02/01/2007,1.1464,,,,
7.2E+12,02/02/2007,1.1464,,,,
7.2E+12,02/05/2007,1.1514,,,,
7.2E+12,02/06/2007,1.1514,,,,
7.2E+12,02/07/2007,1.1514,,,,
7.2E+12,02/08/2007,1.1514,,,,
7.2E+12,02/09/2007,1.1514,,,,
7.2E+12,02/12/2007,1.1514,,,,
7.2E+12,02/13/2007,1.1514,,,,
7.2E+12,02/14/2007,1.1514,,,,
7.2E+12,02/15/2007,1.1514,,,,
7.2E+12,02/16/2007,1.1514,,,,
7.2E+12,02/19/2007,1.1514,,,,
7.2E+12,02/20/2007,1.1514,,,,
7.2E+12,02/21/2007,1.1514,,,,
7.2E+12,02/22/2007,1.1514,,,,
7.2E+12,02/23/2007,1.1514,,,,
7.2E+12,02/26/2007,1.1464,,,,
7.2E+12,02/27/2007,1.1464,,,,
7.2E+12,02/28/2007,1.1464,,,,
7.2E+12,03/01/2007,1.1464,,,,
7.2E+12,03/02/2007,1.1464,,,,
7.2E+12,03/05/2007,1.1464,,,,
7.2E+12,03/06/2007,1.1514,,,,
7.2E+12,03/07/2007,1.1514,,,,
7.2E+12,03/08/2007,1.1514,,,,
7.2E+12,03/09/2007,1.1514,,,,
7.2E+12,03/12/2007,1.1464,,,,
7.2E+12,03/13/2007,1.1464,,,,
7.2E+12,03/14/2007,1.1464,,,,
7.2E+12,03/15/2007,1.1464,,,,
7.2E+12,03/16/2007,1.1464,,,,
7.2E+12,03/19/2007,1.1464,,,,
7.2E+12,03/20/2007,1.1464,,,,
7.2E+12,03/21/2007,1.1514,,,,
7.2E+12,03/22/2007,1.1514,,,,
7.2E+12,03/23/2007,1.1514,,,,
7.2E+12,03/26/2007,1.1514,,,,
7.2E+12,03/27/2007,1.1514,,,,
7.2E+12,03/28/2007,1.1514,,,,
7.2E+12,03/29/2007,1.1514,,,,
7.2E+12,03/30/2007,1.1514,,,,
7.2E+12,04/02/2007,1.1514,,,,
7.2E+12,04/03/2007,1.1514,,,,
7.2E+12,04/04/2007,1.1514,,,,
7.2E+12,04/05/2007,1.1514,,,,
7.2E+12,04/06/2007,1.1514,,,,
7.2E+12,04/09/2007,1.1514,,,,
7.2E+12,04/10/2007,1.1514,,,,
7.2E+12,04/11/2007,1.1464,,,,
7.2E+12,04/12/2007,1.1464,,,,
7.2E+12,04/13/2007,1.1464,,,,
7.2E+12,04/16/2007,1.1464,,,,
7.2E+12,04/17/2007,1.1464,,,,
7.2E+12,04/18/2007,1.1464,,,,
7.2E+12,04/19/2007,1.1464,,,,
7.2E+12,04/20/2007,1.1464,,,,
7.2E+12,04/23/2007,1.1464,,,,
7.2E+12,04/24/2007,1.1464,,,,
7.2E+12,04/25/2007,1.1464,,,,
7.2E+12,04/26/2007,1.1464,,,,
7.2E+12,04/27/2007,1.1464,,,,
7.2E+12,04/30/2007,1.1464,,,,
7.2E+12,05/01/2007,1.1464,,,,
7.2E+12,05/02/2007,1.1464,,,,
7.2E+12,05/03/2007,1.1464,,,,
7.2E+12,05/04/2007,1.1464,,,,
7.2E+12,05/07/2007,1.1464,,,,
7.2E+12,05/08/2007,1.1464,,,,
7.2E+12,05/09/2007,1.1464,,,,
7.2E+12,05/10/2007,1.1464,,,,
7.2E+12,05/11/2007,1.1464,,,,
7.2E+12,05/14/2007,1.1464,,,,
7.2E+12,05/15/2007,1.1464,,,,
7.2E+12,05/16/2007,1.1464,,,,
7.2E+12,05/17/2007,1.1464,,,,
7.2E+12,05/18/2007,1.1464,,,,
7.2E+12,05/21/2007,1.1464,,,,
7.2E+12,05/22/2007,1.1464,,,,
7.2E+12,05/23/2007,1.1464,,,,
7.2E+12,05/24/2007,1.1464,,,,
7.2E+12,05/25/2007,1.1464,,,,
7.2E+12,05/28/2007,1.1464,,,,
7.2E+12,05/29/2007,1.1464,,,,
7.2E+12,05/30/2007,1.1464,,,,
7.2E+12,05/31/2007,1.1464,,,,
7.2E+12,06/01/2007,1.1464,,,,
7.2E+12,06/04/2007,1.1464,,,,
7.2E+12,06/05/2007,1.1464,,,,
7.2E+12,06/06/2007,1.1464,,,,
7.2E+12,06/07/2007,1.1464,,,,
7.2E+12,06/08/2007,1.1464,,,,
7.2E+12,06/11/2007,1.1464,,,,
7.2E+12,06/12/2007,1.1464,,,,
7.2E+12,06/13/2007,1.1514,,,,
7.2E+12,06/14/2007,1.1514,,,,
7.2E+12,06/15/2007,1.1514,,,,
7.2E+12,06/18/2007,1.1514,,,,
7.2E+12,06/19/2007,1.1464,,,,
7.2E+12,06/20/2007,1.1464,,,,
7.2E+12,06/21/2007,1.1464,,,,
7.2E+12,06/22/2007,1.1514,,,,
7.2E+12,06/25/2007,1.1464,,,,
7.2E+12,06/26/2007,1.1464,,,,
7.2E+12,06/27/2007,1.1464,,,,
7.2E+12,06/28/2007,1.1464,,,,
7.2E+12,06/29/2007,1.1464,,,,
7.2E+12,07/02/2007,1.1464,,,,
7.2E+12,07/03/2007,1.1464,,,,
7.2E+12,07/04/2007,1.1464,,,,
7.2E+12,07/05/2007,1.1464,,,,
7.2E+12,07/06/2007,1.1464,,,,
7.2E+12,07/09/2007,1.1514,,,,
7.2E+12,07/10/2007,1.1464,,,,
7.2E+12,07/11/2007,1.1464,,,,
7.2E+12,07/12/2007,1.1464,,,,
7.2E+12,07/13/2007,1.1464,,,,
7.2E+12,07/16/2007,1.1464,,,,
7.2E+12,07/17/2007,1.1464,,,,
7.2E+12,07/18/2007,1.1464,,,,
7.2E+12,07/19/2007,1.1464,,,,
7.2E+12,07/20/2007,1.1464,,,,
7.2E+12,07/23/2007,1.1464,,,,
